Nama_Lokasi,Jam_Login,Nama,Email,No_Telp,Tahun_Lahir,Merek_HP,Digital_Interest,Location_Type,Usia,Jam_Login_Rounded
Stuja Coffee,18:19,Praba,Praba@google.com,8191383832,1990-11-21,vivo,tech,Social,32.0,18
SMA N 47 Jakarta,06:36,Damu,Damu@google.com,8054530516,1981-03-04,oppo,art,Goes to School,42.0,7
SMA N 28 Jakarta,00:55,Tira,Tira@google.com,8808459439,1985-10-04,xiaomi,beauty,Goes to School,37.0,1
Tang City Mall,01:54,Emin,Emin@google.com,8172958771,1992-07-22,apple,sport,Free,30.0,2
SMA N 28 Jakarta,06:05,Agnes,Agnes@google.com,8992275763,1968-03-20,samsung,cooking,Goes to School,55.0,6
Jogja City Mall,04:31,Halim,Halim@google.com,8521267005,1969-05-05,oppo,games,Free,54.0,5
SMA N 27 Jakarta,12:07,Budi,Budi@google.com,8320199004,1994-07-28,xiaomi,sport,Goes to School,28.0,12
Grand Metropolitan Mall,15:02,Gadang,Gadang@google.com,8036208026,2004-01-01,xiaomi,sport,Free,19.0,15
Grand Metropolitan Mall,17:47,Syahrini,Syahrini@google.com,8997015097,1993-09-02,xiaomi,games,Free,29.0,18
Tang City Mall,03:06,Raihan,Raihan@google.com,8505413931,1994-12-22,xiaomi,cooking,Free,28.0,3
SMA N 47 Jakarta,11:46,Indah,Indah@google.com,8269313699,1991-11-10,vivo,cooking,Goes to School,31.0,12
SMA N 47 Jakarta,18:21,Daniswara,Daniswara@google.com,8993715985,1980-01-15,vivo,entertainment,Goes to School,43.0,18
Tang City Mall,02:28,Jagaraga,Jagaraga@google.com,8323219241,1975-03-21,vivo,games,Free,48.0,2
Grand Metropolitan Mall,01:37,Jaka,Jaka@google.com,8911435824,1972-06-20,apple,sport,Free,51.0,2
Grand Metropolitan Mall,07:43,Enteng,Enteng@google.com,8046721654,1980-05-07,apple,art,Free,43.0,8
SMA N 28 Jakarta,21:31,Cinta,Cinta@google.com,8342504593,1964-06-24,vivo,music,Goes to School,59.0,22
Coffee Toffee,21:46,Rahmi,Rahmi@google.com,8890405583,2004-06-01,vivo,entertainment,Social,19.0,22
SMA N 47 Jakarta,17:58,Kiandra,Kiandra@google.com,8871066005,2007-05-09,apple,music,Goes to School,16.0,18
Stuja Coffee,08:16,Cemeti,Cemeti@google.com,8141131993,1970-05-25,oppo,beauty,Social,53.0,8
SMA N 28 Jakarta,17:13,Jaswadi,Jaswadi@google.com,8590161988,1967-09-15,vivo,entertainment,Goes to School,55.0,17
SMA N 28 Jakarta,17:44,Edi,Edi@google.com,8259227161,1972-12-28,oppo,sport,Goes to School,50.0,18
SMA N 47 Jakarta,08:50,Jagaraga,Jagaraga@google.com,8843475138,2002-12-04,oppo,tech,Goes to School,20.0,9
SMA N 47 Jakarta,14:13,Sidiq,Sidiq@google.com,8281428834,2005-12-15,vivo,music,Goes to School,17.0,14
Stuja Coffee,09:31,Hafshah,Hafshah@google.com,8657071524,1977-06-15,xiaomi,music,Social,46.0,10
SMA N 27 Jakarta,00:01,Belinda,Belinda@google.com,8471431532,1982-12-18,vivo,beauty,Goes to School,40.0,0
SMA N 47 Jakarta,16:04,Gatot,Gatot@google.com,8133071763,1962-06-16,apple,cooking,Goes to School,61.0,16
SMA N 27 Jakarta,02:52,Vero,Vero@google.com,8224164200,1978-11-04,vivo,music,Goes to School,44.0,3
Tang City Mall,18:42,Yance,Yance@google.com,8287410912,1965-10-09,xiaomi,science,Free,57.0,19
Grand Metropolitan Mall,16:15,Raisa,Raisa@google.com,8375087835,1976-01-28,oppo,music,Free,47.0,16
Foresthree Coffee,23:54,Puput,Puput@google.com,8950683172,1970-07-27,xiaomi,beauty,Social,52.0,0
SMA N 27 Jakarta,01:50,Jayeng,Jayeng@google.com,8869049753,1998-02-13,apple,science,Goes to School,25.0,2
Foresthree Coffee,15:49,Azalea,Azalea@google.com,8119632871,1985-04-25,apple,cooking,Social,38.0,16
Jogja City Mall,03:48,Nardi,Nardi@google.com,8136588596,1999-07-03,vivo,cooking,Free,23.0,4
Jogja City Mall,13:20,Uli,Uli@google.com,8892511132,1974-11-15,samsung,entertainment,Free,48.0,13
Jogja City Mall,03:54,Lantar,Lantar@google.com,8730507866,1997-01-16,vivo,sport,Free,26.0,4
Tang City Mall,23:21,Leo,Leo@google.com,8256477630,1973-04-28,xiaomi,entertainment,Free,50.0,23
Coffee Toffee,02:34,Rahman,Rahman@google.com,8413855547,1978-04-29,samsung,games,Social,45.0,3
Tang City Mall,13:03,Muni,Muni@google.com,8566115514,1997-06-02,xiaomi,beauty,Free,26.0,13
Tang City Mall,09:22,Muni,Muni@google.com,8908339533,1998-02-19,samsung,music,Free,25.0,9
Jogja City Mall,21:51,Virman,Virman@google.com,8490830417,1997-05-24,apple,art,Free,26.0,22
Foresthree Coffee,07:38,Sabrina,Sabrina@google.com,8250532177,1986-05-02,apple,cooking,Social,37.0,8
Coffee Toffee,08:27,Jaiman,Jaiman@google.com,8358277322,2004-10-26,vivo,science,Social,18.0,8
SMA N 27 Jakarta,16:09,Eli,Eli@google.com,8080675935,1984-02-22,xiaomi,science,Goes to School,39.0,16
Grand Metropolitan Mall,21:35,Gading,Gading@google.com,8188668685,1979-10-05,samsung,music,Free,43.0,22
Stuja Coffee,22:57,Ikhsan,Ikhsan@google.com,8727207096,1970-06-03,vivo,games,Social,53.0,23
Stuja Coffee,05:53,Soleh,Soleh@google.com,8783560077,1984-10-07,xiaomi,tech,Social,38.0,6
Stuja Coffee,09:10,Empluk,Empluk@google.com,8284007888,2001-02-19,apple,tech,Social,22.0,9
Tang City Mall,11:39,Jaka,Jaka@google.com,8372468463,1993-05-07,samsung,science,Free,30.0,12
SMA N 47 Jakarta,07:49,Tania,Tania@google.com,8878522296,1984-11-09,oppo,games,Goes to School,38.0,8
Coffee Toffee,23:37,Tri,Tri@google.com,8488973883,1969-02-10,xiaomi,games,Social,54.0,0
Jogja City Mall,18:28,Tami,Tami@google.com,8084569209,1978-03-22,xiaomi,sport,Free,45.0,18
Foresthree Coffee,21:15,Darsirah,Darsirah@google.com,8491424303,1970-11-07,xiaomi,cooking,Social,52.0,21
SMA N 27 Jakarta,01:19,Mutia,Mutia@google.com,8795104468,1964-09-30,vivo,music,Goes to School,58.0,1
Grand Metropolitan Mall,11:43,Jasmin,Jasmin@google.com,8909920596,1986-08-05,vivo,art,Free,36.0,12
SMA N 47 Jakarta,01:04,Unjani,Unjani@google.com,8119604305,1990-11-06,oppo,music,Goes to School,32.0,1
Grand Metropolitan Mall,16:05,Dacin,Dacin@google.com,8174828647,1970-04-09,samsung,science,Free,53.0,16
Grand Metropolitan Mall,21:53,Karsana,Karsana@google.com,8465253894,1991-03-06,apple,music,Free,32.0,22
Grand Metropolitan Mall,17:39,Ganep,Ganep@google.com,8473839916,1987-02-17,apple,art,Free,36.0,18
Jogja City Mall,19:00,Lutfan,Lutfan@google.com,8250578805,2000-02-23,samsung,cooking,Free,23.0,19
Tang City Mall,08:57,Wardi,Wardi@google.com,8670591139,1970-04-23,oppo,music,Free,53.0,9
SMA N 28 Jakarta,22:20,Kamaria,Kamaria@google.com,8554762437,1992-10-14,xiaomi,art,Goes to School,30.0,22
SMA N 47 Jakarta,21:23,Irwan,Irwan@google.com,8142882904,2005-06-15,vivo,entertainment,Goes to School,17.0,21
Jogja City Mall,08:01,Edison,Edison@google.com,8696392868,1995-05-14,apple,cooking,Free,28.0,8
Jogja City Mall,07:29,Jamal,Jamal@google.com,8356761041,1964-06-15,apple,sport,Free,59.0,7
Tang City Mall,00:21,Dartono,Dartono@google.com,8425679227,1993-02-25,samsung,music,Free,30.0,0
Grand Metropolitan Mall,02:11,Wira,Wira@google.com,8933733179,1998-11-23,oppo,science,Free,24.0,2
Stuja Coffee,09:22,Cengkal,Cengkal@google.com,8356052318,1978-09-12,oppo,tech,Social,44.0,9
SMA N 28 Jakarta,07:29,Padma,Padma@google.com,8043613474,1985-01-01,samsung,sport,Goes to School,38.0,7
Foresthree Coffee,00:24,Farhunnisa,Farhunnisa@google.com,8939268969,1990-12-13,xiaomi,beauty,Social,32.0,0
Tang City Mall,12:29,Wasis,Wasis@google.com,8983799551,1964-09-18,oppo,games,Free,58.0,12
Grand Metropolitan Mall,16:28,Melinda,Melinda@google.com,8617846382,2004-07-09,oppo,sport,Free,18.0,16
Stuja Coffee,06:30,Usyi,Usyi@google.com,8307322483,1966-12-19,xiaomi,music,Social,56.0,6
Jogja City Mall,11:31,Virman,Virman@google.com,8771170400,1998-03-30,samsung,entertainment,Free,25.0,12
SMA N 28 Jakarta,17:58,Banawa,Banawa@google.com,8167359811,2006-09-28,xiaomi,tech,Goes to School,16.0,18
Coffee Toffee,03:00,Vinsen,Vinsen@google.com,8564712420,1993-06-12,apple,cooking,Social,30.0,3
Foresthree Coffee,18:45,Bakti,Bakti@google.com,8727280901,1976-06-22,xiaomi,games,Social,46.0,19
Foresthree Coffee,03:54,Raditya,Raditya@google.com,8045859832,1996-03-19,samsung,art,Social,27.0,4
Tang City Mall,07:17,Hesti,Hesti@google.com,8686862985,2000-07-02,vivo,tech,Free,22.0,7
Stuja Coffee,08:30,Oni,Oni@google.com,8528565608,1975-10-15,oppo,games,Social,47.0,8
Tang City Mall,06:51,Cahyono,Cahyono@google.com,8799610892,1983-09-08,xiaomi,tech,Free,39.0,7
Foresthree Coffee,04:09,Pangeran,Pangeran@google.com,8034407748,1991-04-20,oppo,tech,Social,32.0,4
Jogja City Mall,13:24,Usman,Usman@google.com,8681295632,2003-08-16,apple,music,Free,19.0,13
Tang City Mall,17:40,Najam,Najam@google.com,8330998548,1973-03-16,oppo,cooking,Free,50.0,18
SMA N 28 Jakarta,06:12,Sidiq,Sidiq@google.com,8083458033,1970-05-19,xiaomi,cooking,Goes to School,53.0,6
Stuja Coffee,21:42,Eman,Eman@google.com,8399876554,1971-08-21,xiaomi,tech,Social,51.0,22
Jogja City Mall,13:07,Wahyu,Wahyu@google.com,8680281521,1987-04-27,xiaomi,games,Free,36.0,13
Coffee Toffee,12:25,Harjaya,Harjaya@google.com,8945286924,1993-01-06,samsung,science,Social,30.0,12
Stuja Coffee,23:41,Ina,Ina@google.com,8887707222,1966-11-13,samsung,cooking,Social,56.0,0
Grand Metropolitan Mall,06:53,Tasdik,Tasdik@google.com,8736449196,1992-02-18,xiaomi,tech,Free,31.0,7
Stuja Coffee,10:52,Harsaya,Harsaya@google.com,8588895643,1982-10-22,samsung,sport,Social,40.0,11
Jogja City Mall,10:59,Suci,Suci@google.com,8874938058,2000-04-30,samsung,sport,Free,23.0,11
Grand Metropolitan Mall,04:13,Gawati,Gawati@google.com,8493545858,2005-01-09,oppo,entertainment,Free,18.0,4
SMA N 28 Jakarta,06:44,Bakiman,Bakiman@google.com,8020465993,1969-03-12,apple,entertainment,Goes to School,54.0,7
Tang City Mall,04:47,Laksana,Laksana@google.com,8163138371,2000-06-16,vivo,beauty,Free,22.0,5
SMA N 28 Jakarta,05:56,Kasiyah,Kasiyah@google.com,8203037128,1993-09-16,oppo,entertainment,Goes to School,29.0,6
Coffee Toffee,13:39,Kairav,Kairav@google.com,8762115612,2003-05-14,apple,sport,Social,20.0,14
Coffee Toffee,01:40,Wardi,Wardi@google.com,8669017761,1990-03-05,samsung,beauty,Social,33.0,2
SMA N 47 Jakarta,05:55,Nrima,Nrima@google.com,8724038704,2006-09-09,apple,art,Goes to School,16.0,6
Stuja Coffee,14:04,Perkasa,Perkasa@google.com,8545546060,1991-06-10,apple,sport,Social,32.0,14
Tang City Mall,10:27,Rahmi,Rahmi@google.com,8860102829,2001-01-30,samsung,beauty,Free,22.0,10
SMA N 47 Jakarta,21:29,Lembah,Lembah@google.com,8860150045,1991-03-22,vivo,music,Goes to School,32.0,21
SMA N 28 Jakarta,19:52,Karsa,Karsa@google.com,8056718127,2002-11-11,samsung,games,Goes to School,20.0,20
SMA N 27 Jakarta,11:19,Balamantri,Balamantri@google.com,8768910960,1989-01-31,oppo,science,Goes to School,34.0,11
Stuja Coffee,11:48,Salman,Salman@google.com,8970556992,2006-11-23,apple,beauty,Social,16.0,12
SMA N 27 Jakarta,16:32,Kalim,Kalim@google.com,8502354908,1980-09-08,oppo,tech,Goes to School,42.0,17
SMA N 27 Jakarta,15:25,Radika,Radika@google.com,8510666982,1987-06-26,xiaomi,entertainment,Goes to School,35.0,15
SMA N 47 Jakarta,16:16,Cemeti,Cemeti@google.com,8065874416,2006-05-14,vivo,science,Goes to School,17.0,16
SMA N 27 Jakarta,21:42,Ellis,Ellis@google.com,8902000768,1965-07-02,apple,entertainment,Goes to School,57.0,22
Tang City Mall,03:35,Banara,Banara@google.com,8926289003,1964-12-28,vivo,art,Free,58.0,4
Tang City Mall,23:59,Ella,Ella@google.com,8697211777,1981-01-19,apple,beauty,Free,42.0,0
Stuja Coffee,01:03,Cakrabirawa,Cakrabirawa@google.com,8358426700,1996-02-29,oppo,entertainment,Social,27.0,1
Grand Metropolitan Mall,22:17,Cornelia,Cornelia@google.com,8363986970,1980-09-25,oppo,tech,Free,42.0,22
SMA N 28 Jakarta,16:25,Karen,Karen@google.com,8273463933,1984-12-04,oppo,beauty,Goes to School,38.0,16
SMA N 27 Jakarta,09:16,Bala,Bala@google.com,8920251166,1999-03-14,xiaomi,games,Goes to School,24.0,9
Coffee Toffee,00:19,Teddy,Teddy@google.com,8793924872,1986-06-07,apple,games,Social,37.0,0
Jogja City Mall,19:08,Kariman,Kariman@google.com,8378425563,1963-10-12,xiaomi,music,Free,59.0,19
Stuja Coffee,02:50,Devi,Devi@google.com,8956434232,1980-04-23,apple,tech,Social,43.0,3
Coffee Toffee,14:06,Rafi,Rafi@google.com,8477209425,1986-04-05,vivo,art,Social,37.0,14
Grand Metropolitan Mall,01:11,Cakrabuana,Cakrabuana@google.com,8005308843,1964-05-18,apple,art,Free,59.0,1
Tang City Mall,10:31,Paiman,Paiman@google.com,8205251496,1965-11-27,xiaomi,entertainment,Free,57.0,11
Stuja Coffee,17:22,Bella,Bella@google.com,8601822509,1972-12-04,apple,games,Social,50.0,17
Coffee Toffee,09:11,Rahmi,Rahmi@google.com,8667142666,1963-05-28,oppo,science,Social,60.0,9
SMA N 28 Jakarta,23:02,Respati,Respati@google.com,8172576019,1976-03-12,vivo,games,Goes to School,47.0,23
SMA N 47 Jakarta,01:07,Amalia,Amalia@google.com,8365044850,1995-07-30,oppo,beauty,Goes to School,27.0,1
SMA N 47 Jakarta,15:51,Olivia,Olivia@google.com,8532499161,1969-10-16,samsung,tech,Goes to School,53.0,16
Foresthree Coffee,02:19,Perkasa,Perkasa@google.com,8414911536,1966-11-30,xiaomi,sport,Social,56.0,2
Jogja City Mall,21:37,Vero,Vero@google.com,8682675049,1964-12-09,xiaomi,art,Free,58.0,22
SMA N 47 Jakarta,09:43,Darijan,Darijan@google.com,8887345178,1968-07-20,apple,tech,Goes to School,54.0,10
Foresthree Coffee,15:10,Amelia,Amelia@google.com,8059078095,1962-04-05,vivo,tech,Social,61.0,15
Stuja Coffee,06:37,Prima,Prima@google.com,8092596428,1988-08-12,apple,art,Social,34.0,7
Foresthree Coffee,19:02,Ikin,Ikin@google.com,8009455189,1973-03-31,vivo,beauty,Social,50.0,19
Grand Metropolitan Mall,22:44,Ophelia,Ophelia@google.com,8503381220,2004-11-27,apple,tech,Free,18.0,23
Tang City Mall,14:38,Ian,Ian@google.com,8750439940,1966-10-30,vivo,music,Free,56.0,15
SMA N 27 Jakarta,03:50,Kayla,Kayla@google.com,8178369753,1989-11-10,oppo,entertainment,Goes to School,33.0,4
SMA N 28 Jakarta,20:22,Hairyanto,Hairyanto@google.com,8890459051,1994-08-30,apple,cooking,Goes to School,28.0,20
Coffee Toffee,23:59,Embuh,Embuh@google.com,8492858439,1967-03-27,vivo,sport,Social,56.0,0
Jogja City Mall,11:59,Cemplunk,Cemplunk@google.com,8517934912,1986-01-05,xiaomi,beauty,Free,37.0,12
Stuja Coffee,18:04,Danu,Danu@google.com,8074800701,1964-08-23,xiaomi,sport,Social,58.0,18
Coffee Toffee,08:00,Bella,Bella@google.com,8197606250,1997-09-19,apple,cooking,Social,25.0,8
Grand Metropolitan Mall,14:24,Narji,Narji@google.com,8072841081,2004-04-14,apple,tech,Free,19.0,14
Jogja City Mall,20:45,Rizki,Rizki@google.com,8248478029,1995-04-14,samsung,games,Free,28.0,21
Stuja Coffee,03:13,Naradi,Naradi@google.com,8438708131,1986-10-04,oppo,cooking,Social,36.0,3
Coffee Toffee,14:45,Yulia,Yulia@google.com,8255973603,1962-11-25,apple,science,Social,60.0,15
SMA N 28 Jakarta,08:28,Violet,Violet@google.com,8317946211,1980-12-12,oppo,cooking,Goes to School,42.0,8
Tang City Mall,10:09,Laras,Laras@google.com,8040796003,1981-09-14,apple,games,Free,41.0,10
Stuja Coffee,09:51,Viman,Viman@google.com,8275563826,1978-09-09,apple,games,Social,44.0,10
Jogja City Mall,11:24,Kemal,Kemal@google.com,8118582894,2005-01-07,xiaomi,tech,Free,18.0,11
SMA N 47 Jakarta,02:09,Wawan,Wawan@google.com,8286042203,1993-06-29,apple,science,Goes to School,29.0,2
Grand Metropolitan Mall,18:06,Natalia,Natalia@google.com,8824116929,1977-04-08,apple,music,Free,46.0,18
SMA N 27 Jakarta,18:24,Paris,Paris@google.com,8358138095,1992-04-16,samsung,beauty,Goes to School,31.0,18
SMA N 28 Jakarta,06:20,Mustofa,Mustofa@google.com,8681534637,2001-07-06,samsung,beauty,Goes to School,21.0,6
Tang City Mall,13:21,Gatot,Gatot@google.com,8467566527,1965-12-29,oppo,music,Free,57.0,13
Foresthree Coffee,19:25,Gadang,Gadang@google.com,8578279688,1984-11-14,oppo,science,Social,38.0,19
SMA N 28 Jakarta,07:42,Nalar,Nalar@google.com,8473961458,1988-01-18,samsung,cooking,Goes to School,35.0,8
Foresthree Coffee,10:00,Akarsana,Akarsana@google.com,8502154886,1968-09-21,xiaomi,beauty,Social,54.0,10
Stuja Coffee,22:55,Taufan,Taufan@google.com,8809694561,1991-04-08,oppo,art,Social,32.0,23
SMA N 27 Jakarta,04:37,Martana,Martana@google.com,8657030988,2007-07-21,apple,entertainment,Goes to School,15.0,5
Stuja Coffee,10:15,Mursita,Mursita@google.com,8095899118,1987-10-04,oppo,tech,Social,35.0,10
Foresthree Coffee,07:05,Bakti,Bakti@google.com,8171243253,2000-04-23,apple,cooking,Social,23.0,7
Jogja City Mall,08:38,Dalimin,Dalimin@google.com,8904240846,1993-08-19,vivo,tech,Free,29.0,9
SMA N 47 Jakarta,12:15,Usman,Usman@google.com,8926346933,1976-10-02,apple,beauty,Goes to School,46.0,12
Coffee Toffee,17:03,Ella,Ella@google.com,8520866142,1962-08-04,apple,cooking,Social,60.0,17
SMA N 27 Jakarta,19:04,Hendra,Hendra@google.com,8696841771,1970-09-06,xiaomi,cooking,Goes to School,52.0,19
Tang City Mall,04:23,Jaya,Jaya@google.com,8602681832,1976-11-04,oppo,entertainment,Free,46.0,4
Grand Metropolitan Mall,22:04,Calista,Calista@google.com,8087360341,2006-07-19,apple,science,Free,16.0,22
SMA N 27 Jakarta,01:46,Salimah,Salimah@google.com,8276942861,1985-04-29,samsung,games,Goes to School,38.0,2
SMA N 27 Jakarta,07:14,Kairav,Kairav@google.com,8827523927,2006-05-11,samsung,cooking,Goes to School,17.0,7
Coffee Toffee,05:56,Bakiono,Bakiono@google.com,8047429159,1976-06-09,xiaomi,cooking,Social,47.0,6
Foresthree Coffee,02:50,Caraka,Caraka@google.com,8459910628,1983-04-14,samsung,science,Social,40.0,3
Stuja Coffee,04:22,Maman,Maman@google.com,8743355008,1979-12-09,apple,art,Social,43.0,4
Coffee Toffee,10:34,Safina,Safina@google.com,8677997483,1995-02-03,xiaomi,beauty,Social,28.0,11
Tang City Mall,15:11,Galuh,Galuh@google.com,8478447314,1983-07-20,xiaomi,music,Free,39.0,15
Jogja City Mall,21:00,Victoria,Victoria@google.com,8244061844,1971-03-17,apple,beauty,Free,52.0,21
SMA N 47 Jakarta,18:21,Prabawa,Prabawa@google.com,8427643991,1996-03-03,apple,science,Goes to School,27.0,18
Tang City Mall,11:41,Asmadi,Asmadi@google.com,8135063394,2005-01-13,oppo,science,Free,18.0,12
Tang City Mall,17:54,Jefri,Jefri@google.com,8156324440,1999-05-02,oppo,beauty,Free,24.0,18
Grand Metropolitan Mall,06:03,Prayogo,Prayogo@google.com,8528413366,2000-08-30,oppo,art,Free,22.0,6
Tang City Mall,12:18,Kezia,Kezia@google.com,8729008346,1997-10-17,vivo,art,Free,25.0,12
Foresthree Coffee,15:20,Rangga,Rangga@google.com,8988617949,1986-09-29,vivo,beauty,Social,36.0,15
Tang City Mall,01:54,Adika,Adika@google.com,8909034610,1978-08-30,samsung,games,Free,44.0,2
Jogja City Mall,00:11,Indra,Indra@google.com,8718366470,1970-10-31,oppo,beauty,Free,52.0,0
Tang City Mall,03:43,Nadia,Nadia@google.com,8391085085,1994-12-19,xiaomi,beauty,Free,28.0,4
Foresthree Coffee,18:13,Jelita,Jelita@google.com,8300415071,1995-11-12,vivo,games,Social,27.0,18
Coffee Toffee,16:58,Capa,Capa@google.com,8960443292,1972-04-04,apple,tech,Social,51.0,17
Jogja City Mall,09:45,Syahrini,Syahrini@google.com,8682100749,1999-10-01,xiaomi,art,Free,23.0,10
Stuja Coffee,23:46,Zelda,Zelda@google.com,8446235602,1978-01-30,apple,games,Social,45.0,0
Tang City Mall,04:15,Mitra,Mitra@google.com,8976926705,1967-08-14,oppo,cooking,Free,55.0,4
SMA N 28 Jakarta,03:54,Jasmin,Jasmin@google.com,8116138158,1964-10-26,apple,cooking,Goes to School,58.0,4
Stuja Coffee,15:04,Bajragin,Bajragin@google.com,8812202485,1965-11-20,xiaomi,beauty,Social,57.0,15
Tang City Mall,13:17,Bakiman,Bakiman@google.com,8534604551,1963-06-23,samsung,beauty,Free,60.0,13
Tang City Mall,20:46,Candrakanta,Candrakanta@google.com,8207475222,1963-04-03,oppo,beauty,Free,60.0,21
Stuja Coffee,04:18,Asmadi,Asmadi@google.com,8278000025,1989-11-22,apple,sport,Social,33.0,4
SMA N 47 Jakarta,14:35,Wakiman,Wakiman@google.com,8444126750,1981-05-28,vivo,art,Goes to School,42.0,15
SMA N 27 Jakarta,01:01,Nasab,Nasab@google.com,8798894853,1972-03-11,samsung,cooking,Goes to School,51.0,1
Grand Metropolitan Mall,05:27,Wulan,Wulan@google.com,8225851302,1998-07-05,samsung,sport,Free,24.0,5
SMA N 47 Jakarta,13:23,Ismail,Ismail@google.com,8218833674,1987-01-09,apple,music,Goes to School,36.0,13
SMA N 28 Jakarta,11:43,Leo,Leo@google.com,8007788038,1988-08-10,oppo,tech,Goes to School,34.0,12
SMA N 47 Jakarta,01:24,Adinata,Adinata@google.com,8680714495,1981-06-07,vivo,games,Goes to School,42.0,1
Foresthree Coffee,16:35,Balidin,Balidin@google.com,8550302580,1963-10-28,samsung,games,Social,59.0,17
Stuja Coffee,17:37,Almira,Almira@google.com,8417242787,1965-06-02,apple,cooking,Social,58.0,18
Grand Metropolitan Mall,01:36,Imam,Imam@google.com,8671276783,2000-08-07,xiaomi,cooking,Free,22.0,2
Grand Metropolitan Mall,20:35,Mustofa,Mustofa@google.com,8996039076,1992-03-02,vivo,sport,Free,31.0,21
Stuja Coffee,04:51,Vinsen,Vinsen@google.com,8307934801,1968-06-15,oppo,beauty,Social,55.0,5
Stuja Coffee,22:33,Edward,Edward@google.com,8801759135,1971-09-08,vivo,tech,Social,51.0,23
Coffee Toffee,08:25,Daliono,Daliono@google.com,8079904847,2002-07-06,oppo,sport,Social,20.0,8
SMA N 27 Jakarta,10:16,Titi,Titi@google.com,8415726300,1987-06-22,vivo,science,Goes to School,35.0,10
Grand Metropolitan Mall,07:16,Warji,Warji@google.com,8490898093,1966-07-24,samsung,music,Free,56.0,7
SMA N 27 Jakarta,16:09,Ciaobella,Ciaobella@google.com,8507789909,1978-06-17,xiaomi,beauty,Goes to School,45.0,16
SMA N 28 Jakarta,09:19,Kuncara,Kuncara@google.com,8614371227,2002-12-10,apple,music,Goes to School,20.0,9
Stuja Coffee,07:28,Harjo,Harjo@google.com,8881294072,1970-06-05,oppo,cooking,Social,53.0,7
SMA N 47 Jakarta,10:18,Samsul,Samsul@google.com,8379397513,2004-09-13,apple,sport,Goes to School,18.0,10
Tang City Mall,02:26,Lala,Lala@google.com,8778919779,1977-02-06,vivo,cooking,Free,46.0,2
Stuja Coffee,14:29,Dodo,Dodo@google.com,8079570805,1999-01-23,apple,tech,Social,24.0,14
Coffee Toffee,21:32,Cahya,Cahya@google.com,8662144687,1985-02-03,oppo,games,Social,38.0,22
SMA N 28 Jakarta,19:37,Novi,Novi@google.com,8803586534,2006-04-15,vivo,science,Goes to School,17.0,20
Coffee Toffee,03:22,Wakiman,Wakiman@google.com,8001307832,1994-02-10,apple,cooking,Social,29.0,3
Tang City Mall,02:04,Rika,Rika@google.com,8603387011,2004-01-03,samsung,art,Free,19.0,2
Tang City Mall,12:15,Damu,Damu@google.com,8751591490,1973-01-31,apple,cooking,Free,50.0,12
Grand Metropolitan Mall,09:29,Vanya,Vanya@google.com,8062689853,2003-09-12,xiaomi,tech,Free,19.0,9
Foresthree Coffee,20:09,Banara,Banara@google.com,8252605199,1999-07-28,samsung,science,Social,23.0,20
SMA N 47 Jakarta,10:45,Edward,Edward@google.com,8315536978,1998-04-19,oppo,science,Goes to School,25.0,11
Grand Metropolitan Mall,14:40,Purwa,Purwa@google.com,8040715803,1968-12-13,vivo,beauty,Free,54.0,15
Jogja City Mall,21:58,Cemani,Cemani@google.com,8092687995,1981-09-22,apple,cooking,Free,41.0,22
Foresthree Coffee,20:26,Kacung,Kacung@google.com,8470199947,1979-05-17,oppo,sport,Social,44.0,20
Tang City Mall,17:06,Wardi,Wardi@google.com,8558430163,2002-08-12,samsung,tech,Free,20.0,17
SMA N 27 Jakarta,18:35,Manah,Manah@google.com,8741925063,2000-10-23,samsung,tech,Goes to School,22.0,19
Foresthree Coffee,04:16,Hesti,Hesti@google.com,8731875056,1993-11-06,apple,tech,Social,29.0,4
Tang City Mall,10:28,Jaga,Jaga@google.com,8968100093,1988-02-24,oppo,games,Free,35.0,10
Grand Metropolitan Mall,16:41,Yessi,Yessi@google.com,8748104666,1964-04-04,xiaomi,games,Free,59.0,17
Coffee Toffee,04:08,Halima,Halima@google.com,8094196702,1992-12-29,oppo,sport,Social,30.0,4
SMA N 28 Jakarta,04:59,Balijan,Balijan@google.com,8207153552,1963-09-10,apple,tech,Goes to School,59.0,5
Stuja Coffee,22:05,Humaira,Humaira@google.com,8892513162,1980-03-26,apple,art,Social,43.0,22
Jogja City Mall,07:51,Tasdik,Tasdik@google.com,8294672984,1988-05-25,apple,tech,Free,35.0,8
Grand Metropolitan Mall,04:05,Luwar,Luwar@google.com,8923537987,1992-12-20,vivo,music,Free,30.0,4
Stuja Coffee,16:53,Jinawi,Jinawi@google.com,8025845409,1979-03-12,vivo,sport,Social,44.0,17
SMA N 27 Jakarta,18:40,Mutia,Mutia@google.com,8314377782,1973-08-09,vivo,science,Goes to School,49.0,19
Coffee Toffee,10:31,Abyasa,Abyasa@google.com,8559226719,1992-01-25,oppo,sport,Social,31.0,11
Grand Metropolitan Mall,07:13,Tami,Tami@google.com,8677526910,2002-09-10,xiaomi,beauty,Free,20.0,7
SMA N 27 Jakarta,20:41,Artanto,Artanto@google.com,8587777920,1992-09-08,vivo,cooking,Goes to School,30.0,21
Grand Metropolitan Mall,08:13,Atmaja,Atmaja@google.com,8334686341,2000-04-04,oppo,art,Free,23.0,8
Jogja City Mall,06:45,Jumari,Jumari@google.com,8243880532,1978-08-25,apple,cooking,Free,44.0,7
